1449 384 480
97 101 10 0
199 276 7 1
98 101 10 0
200 276 7 1
99 101 10 0
201 276 7 1
100 101 10 0
202 276 7 1
238 422 9 0
239 422 9 0
240 422 9 0
179 354 8 1
241 422 9 0
180 354 8 1
242 422 9 0
181 354 8 1
243 422 9 0
182 354 8 1
244 422 9 0
183 354 8 1
245 422 9 0
184 354 8 1
246 422 9 0
185 354 8 1
247 422 9 0
186 354 8 1
248 422 9 0
187 354 8 1
249 422 9 0
188 354 8 1
189 354 8 1
190 354 8 1
191 354 8 1
192 354 8 1
193 354 8 1
194 354 8 1
195 354 8 1
196 354 8 1
197 354 8 1
198 354 8 1
199 354 8 1
200 354 8 1
201 354 8 1
202 354 8 1
203 354 8 1
204 354 8 1
205 354 8 1
206 354 8 1
207 354 8 1
208 354 8 1
209 354 8 1
210 354 8 1
211 354 8 1
212 354 8 1
213 354 8 1
214 354 8 1
215 354 8 1
216 354 8 1
217 354 8 1
236 130 6 1
218 354 8 1
237 130 6 1
219 354 8 1
238 130 6 1
220 354 8 1
239 130 6 1
221 354 8 1
240 130 6 1
222 354 8 1
241 130 6 1
223 354 8 1
242 130 6 1
243 130 6 1
89 111 10 0
90 111 10 0
91 111 10 0
92 111 10 0
93 111 10 0
94 111 10 0
95 111 10 0
223 432 9 0
224 432 9 0
225 432 9 0
164 364 8 1
226 432 9 0
165 364 8 1
227 432 9 0
166 364 8 1
228 432 9 0
167 364 8 1
229 432 9 0
168 364 8 1
230 432 9 0
169 364 8 1
231 432 9 0
170 364 8 1
232 432 9 0
171 364 8 1
172 364 8 1
173 364 8 1
174 364 8 1
175 364 8 1
242 140 6 1
243 140 6 1
244 140 6 1
245 140 6 1
246 140 6 1
247 140 6 1
206 257 7 1
207 257 7 1
208 257 7 1
87 121 10 0
209 257 7 1
88 121 10 0
210 257 7 1
89 121 10 0
211 257 7 1
90 121 10 0
91 121 10 0
97 92 10 0
199 267 7 1
98 92 10 0
200 267 7 1
99 92 10 0
201 267 7 1
100 92 10 0
202 267 7 1
101 92 10 0
203 267 7 1
102 92 10 0
204 267 7 1
103 92 10 0
205 267 7 1
206 267 7 1
249 413 9 0
250 413 9 0
251 413 9 0
252 413 9 0
253 413 9 0
254 413 9 0
255 413 9 0
256 413 9 0
228 121 6 1
229 121 6 1
230 121 6 1
231 121 6 1
232 121 6 1
233 121 6 1
234 121 6 1
235 121 6 1
236 121 6 1
93 102 10 0
195 277 7 1
94 102 10 0
196 277 7 1
95 102 10 0
197 277 7 1
96 102 10 0
198 277 7 1
97 102 10 0
199 277 7 1
98 102 10 0
200 277 7 1
99 102 10 0
201 277 7 1
237 423 9 0
238 423 9 0
239 423 9 0
178 355 8 1
240 423 9 0
179 355 8 1
241 423 9 0
180 355 8 1
242 423 9 0
181 355 8 1
243 423 9 0
182 355 8 1
244 423 9 0
183 355 8 1
245 423 9 0
184 355 8 1
246 423 9 0
185 355 8 1
247 423 9 0
186 355 8 1
187 355 8 1
188 355 8 1
189 355 8 1
190 355 8 1
191 355 8 1
192 355 8 1
193 355 8 1
194 355 8 1
195 355 8 1
196 355 8 1
197 355 8 1
198 355 8 1
199 355 8 1
200 355 8 1
201 355 8 1
202 355 8 1
203 355 8 1
204 355 8 1
205 355 8 1
206 355 8 1
207 355 8 1
208 355 8 1
209 355 8 1
210 355 8 1
211 355 8 1
212 355 8 1
213 355 8 1
214 355 8 1
215 355 8 1
216 355 8 1
217 355 8 1
218 355 8 1
237 131 6 1
219 355 8 1
238 131 6 1
220 355 8 1
239 131 6 1
221 355 8 1
240 131 6 1
241 131 6 1
242 131 6 1
243 131 6 1
244 131 6 1
89 112 10 0
151 365 8 1
90 112 10 0
152 365 8 1
91 112 10 0
153 365 8 1
92 112 10 0
154 365 8 1
93 112 10 0
155 365 8 1
94 112 10 0
156 365 8 1
95 112 10 0
157 365 8 1
158 365 8 1
159 365 8 1
160 365 8 1
222 433 9 0
161 365 8 1
223 433 9 0
162 365 8 1
224 433 9 0
163 365 8 1
225 433 9 0
164 365 8 1
226 433 9 0
165 365 8 1
227 433 9 0
166 365 8 1
228 433 9 0
167 365 8 1
229 433 9 0
168 365 8 1
169 365 8 1
170 365 8 1
171 365 8 1
172 365 8 1
173 365 8 1
174 365 8 1
242 141 6 1
243 141 6 1
244 141 6 1
245 141 6 1
246 141 6 1
247 141 6 1
206 258 7 1
207 258 7 1
208 258 7 1
87 122 10 0
209 258 7 1
88 122 10 0
210 258 7 1
89 122 10 0
211 258 7 1
90 122 10 0
212 258 7 1
91 122 10 0
97 93 10 0
199 268 7 1
98 93 10 0
200 268 7 1
99 93 10 0
201 268 7 1
100 93 10 0
202 268 7 1
101 93 10 0
203 268 7 1
102 93 10 0
204 268 7 1
103 93 10 0
205 268 7 1
248 414 9 0
249 414 9 0
250 414 9 0
251 414 9 0
252 414 9 0
253 414 9 0
254 414 9 0
255 414 9 0
229 122 6 1
230 122 6 1
231 122 6 1
232 122 6 1
233 122 6 1
234 122 6 1
235 122 6 1
236 122 6 1
237 122 6 1
93 103 10 0
94 103 10 0
196 278 7 1
95 103 10 0
197 278 7 1
96 103 10 0
198 278 7 1
97 103 10 0
199 278 7 1
98 103 10 0
200 278 7 1
99 103 10 0
201 278 7 1
235 424 9 0
236 424 9 0
237 424 9 0
176 356 8 1
238 424 9 0
177 356 8 1
239 424 9 0
178 356 8 1
240 424 9 0
179 356 8 1
241 424 9 0
180 356 8 1
242 424 9 0
181 356 8 1
243 424 9 0
182 356 8 1
244 424 9 0
183 356 8 1
245 424 9 0
184 356 8 1
185 356 8 1
186 356 8 1
187 356 8 1
188 356 8 1
189 356 8 1
190 356 8 1
191 356 8 1
192 356 8 1
193 356 8 1
194 356 8 1
195 356 8 1
196 356 8 1
197 356 8 1
198 356 8 1
199 356 8 1
200 356 8 1
201 356 8 1
202 356 8 1
203 356 8 1
204 356 8 1
205 356 8 1
206 356 8 1
207 356 8 1
208 356 8 1
209 356 8 1
210 356 8 1
211 356 8 1
212 356 8 1
213 356 8 1
214 356 8 1
215 356 8 1
216 356 8 1
217 356 8 1
218 356 8 1
238 132 6 1
239 132 6 1
240 132 6 1
241 132 6 1
242 132 6 1
243 132 6 1
244 132 6 1
149 366 8 1
150 366 8 1
89 113 10 0
151 366 8 1
90 113 10 0
152 366 8 1
91 113 10 0
153 366 8 1
92 113 10 0
154 366 8 1
93 113 10 0
155 366 8 1
94 113 10 0
156 366 8 1
95 113 10 0
157 366 8 1
158 366 8 1
159 366 8 1
160 366 8 1
161 366 8 1
223 434 9 0
162 366 8 1
224 434 9 0
163 366 8 1
225 434 9 0
164 366 8 1
226 434 9 0
165 366 8 1
227 434 9 0
166 366 8 1
228 434 9 0
167 366 8 1
168 366 8 1
169 366 8 1
170 366 8 1
171 366 8 1
172 366 8 1
244 142 6 1
245 142 6 1
205 259 7 1
206 259 7 1
207 259 7 1
208 259 7 1
209 259 7 1
210 259 7 1
89 123 10 0
211 259 7 1
212 259 7 1
97 94 10 0
199 269 7 1
98 94 10 0
200 269 7 1
99 94 10 0
201 269 7 1
100 94 10 0
202 269 7 1
101 94 10 0
203 269 7 1
102 94 10 0
204 269 7 1
103 94 10 0
205 269 7 1
247 415 9 0
248 415 9 0
249 415 9 0
250 415 9 0
251 415 9 0
252 415 9 0
253 415 9 0
254 415 9 0
255 415 9 0
230 123 6 1
231 123 6 1
232 123 6 1
233 123 6 1
234 123 6 1
235 123 6 1
236 123 6 1
237 123 6 1
238 123 6 1
239 123 6 1
92 104 10 0
93 104 10 0
94 104 10 0
196 279 7 1
95 104 10 0
197 279 7 1
96 104 10 0
198 279 7 1
97 104 10 0
199 279 7 1
98 104 10 0
200 279 7 1
233 425 9 0
234 425 9 0
235 425 9 0
174 357 8 1
236 425 9 0
175 357 8 1
237 425 9 0
176 357 8 1
238 425 9 0
177 357 8 1
239 425 9 0
178 357 8 1
240 425 9 0
179 357 8 1
241 425 9 0
180 357 8 1
242 425 9 0
181 357 8 1
243 425 9 0
182 357 8 1
244 425 9 0
183 357 8 1
245 425 9 0
184 357 8 1
185 357 8 1
186 357 8 1
187 357 8 1
188 357 8 1
189 357 8 1
190 357 8 1
238 133 6 1
239 133 6 1
240 133 6 1
241 133 6 1
242 133 6 1
243 133 6 1
244 133 6 1
245 133 6 1
149 367 8 1
88 114 10 0
150 367 8 1
89 114 10 0
151 367 8 1
90 114 10 0
152 367 8 1
91 114 10 0
153 367 8 1
92 114 10 0
154 367 8 1
93 114 10 0
155 367 8 1
94 114 10 0
156 367 8 1
157 367 8 1
158 367 8 1
159 367 8 1
160 367 8 1
161 367 8 1
223 435 9 0
162 367 8 1
224 435 9 0
163 367 8 1
225 435 9 0
164 367 8 1
226 435 9 0
165 367 8 1
227 435 9 0
166 367 8 1
228 435 9 0
167 367 8 1
168 367 8 1
169 367 8 1
170 367 8 1
171 367 8 1
204 260 7 1
205 260 7 1
206 260 7 1
207 260 7 1
208 260 7 1
209 260 7 1
210 260 7 1
211 260 7 1
96 95 10 0
198 270 7 1
97 95 10 0
199 270 7 1
98 95 10 0
200 270 7 1
99 95 10 0
201 270 7 1
100 95 10 0
202 270 7 1
101 95 10 0
203 270 7 1
102 95 10 0
204 270 7 1
246 416 9 0
247 416 9 0
248 416 9 0
249 416 9 0
250 416 9 0
251 416 9 0
252 416 9 0
253 416 9 0
254 416 9 0
231 124 6 1
232 124 6 1
233 124 6 1
234 124 6 1
235 124 6 1
236 124 6 1
237 124 6 1
238 124 6 1
239 124 6 1
221 348 8 1
222 348 8 1
92 105 10 0
93 105 10 0
94 105 10 0
95 105 10 0
96 105 10 0
198 280 7 1
97 105 10 0
98 105 10 0
230 426 9 0
231 426 9 0
232 426 9 0
233 426 9 0
234 426 9 0
173 358 8 1
235 426 9 0
174 358 8 1
236 426 9 0
175 358 8 1
237 426 9 0
176 358 8 1
238 426 9 0
177 358 8 1
239 426 9 0
178 358 8 1
240 426 9 0
179 358 8 1
241 426 9 0
180 358 8 1
242 426 9 0
181 358 8 1
243 426 9 0
182 358 8 1
244 426 9 0
183 358 8 1
184 358 8 1
185 358 8 1
186 358 8 1
239 134 6 1
240 134 6 1
241 134 6 1
242 134 6 1
243 134 6 1
244 134 6 1
245 134 6 1
246 134 6 1
148 368 8 1
149 368 8 1
88 115 10 0
150 368 8 1
89 115 10 0
151 368 8 1
90 115 10 0
152 368 8 1
91 115 10 0
153 368 8 1
92 115 10 0
154 368 8 1
93 115 10 0
155 368 8 1
94 115 10 0
156 368 8 1
157 368 8 1
158 368 8 1
159 368 8 1
160 368 8 1
161 368 8 1
162 368 8 1
163 368 8 1
225 436 9 0
164 368 8 1
226 436 9 0
165 368 8 1
166 368 8 1
167 368 8 1
168 368 8 1
169 368 8 1
170 368 8 1
203 261 7 1
204 261 7 1
205 261 7 1
206 261 7 1
207 261 7 1
208 261 7 1
209 261 7 1
210 261 7 1
211 261 7 1
228 115 6 1
229 115 6 1
96 96 10 0
198 271 7 1
97 96 10 0
199 271 7 1
98 96 10 0
200 271 7 1
99 96 10 0
201 271 7 1
100 96 10 0
202 271 7 1
101 96 10 0
203 271 7 1
102 96 10 0
204 271 7 1
245 417 9 0
246 417 9 0
247 417 9 0
248 417 9 0
249 417 9 0
250 417 9 0
251 417 9 0
252 417 9 0
253 417 9 0
231 125 6 1
232 125 6 1
233 125 6 1
234 125 6 1
235 125 6 1
236 125 6 1
237 125 6 1
219 349 8 1
238 125 6 1
220 349 8 1
239 125 6 1
221 349 8 1
240 125 6 1
222 349 8 1
223 349 8 1
224 349 8 1
92 106 10 0
93 106 10 0
94 106 10 0
95 106 10 0
96 106 10 0
97 106 10 0
98 106 10 0
228 427 9 0
229 427 9 0
230 427 9 0
231 427 9 0
232 427 9 0
233 427 9 0
172 359 8 1
234 427 9 0
173 359 8 1
235 427 9 0
174 359 8 1
236 427 9 0
175 359 8 1
237 427 9 0
176 359 8 1
238 427 9 0
177 359 8 1
239 427 9 0
178 359 8 1
240 427 9 0
179 359 8 1
241 427 9 0
180 359 8 1
242 427 9 0
181 359 8 1
182 359 8 1
239 135 6 1
240 135 6 1
241 135 6 1
242 135 6 1
243 135 6 1
244 135 6 1
245 135 6 1
246 135 6 1
87 116 10 0
149 369 8 1
88 116 10 0
150 369 8 1
89 116 10 0
151 369 8 1
90 116 10 0
152 369 8 1
91 116 10 0
153 369 8 1
92 116 10 0
154 369 8 1
93 116 10 0
155 369 8 1
156 369 8 1
157 369 8 1
158 369 8 1
159 369 8 1
160 369 8 1
161 369 8 1
162 369 8 1
163 369 8 1
164 369 8 1
165 369 8 1
166 369 8 1
167 369 8 1
168 369 8 1
202 262 7 1
101 87 10 0
203 262 7 1
204 262 7 1
205 262 7 1
206 262 7 1
207 262 7 1
208 262 7 1
209 262 7 1
210 262 7 1
226 116 6 1
227 116 6 1
228 116 6 1
229 116 6 1
230 116 6 1
231 116 6 1
95 97 10 0
197 272 7 1
96 97 10 0
198 272 7 1
97 97 10 0
199 272 7 1
98 97 10 0
200 272 7 1
99 97 10 0
201 272 7 1
100 97 10 0
202 272 7 1
101 97 10 0
203 272 7 1
243 418 9 0
244 418 9 0
245 418 9 0
246 418 9 0
247 418 9 0
248 418 9 0
249 418 9 0
250 418 9 0
251 418 9 0
252 418 9 0
191 350 8 1
192 350 8 1
193 350 8 1
194 350 8 1
195 350 8 1
196 350 8 1
197 350 8 1
198 350 8 1
199 350 8 1
200 350 8 1
201 350 8 1
202 350 8 1
203 350 8 1
